Account,total_pnl,avg_pnl,avg_size,trade_count,long_ratio,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,16159.57673389209,3818,0.4481403876375065,1,Whale Winners
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,1653.2263269230768,7280,0.41964285714285715,2,Selective Retail
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,8893.000897873459,3809,0.4111315305854555,2,Selective Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,507.6269326121253,13311,0.5032679738562091,2,High-Frequency Scalpers
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,3138.894782340228,3239,0.36400123494905834,0,Selective Retail
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,1729.9411042944785,815,0.2233128834355828,0,Selective Retail
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,4790.5754862078575,3589,0.4591808303148509,2,Selective Retail
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,3445.471265060241,332,0.5120481927710844,2,Selective Retail
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,5189.367127937337,383,0.26370757180156656,0,Selective Retail
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,2397.824753435732,1237,0.24413904607922393,0,Selective Retail
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,517.5289235825802,8519,0.47845991313534453,2,High-Frequency Scalpers
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,9084.699093204776,4356,0.4855371900826446,2,Whale Winners
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,17098.171054852322,7584,0.5501054852320675,2,Whale Winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,34396.58028440667,12236,0.5204315135665251,1,Whale Winners
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,746.7256512820513,975,0.3723076923076923,0,Selective Retail
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,7216.667245283019,1590,0.37610062893081764,0,Whale Winners
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,253.1878581664326,2080.390077247191,1424,0.44452247191011235,2,Selective Retail
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,2600.7780491256444,9893,0.4982310724754877,2,High-Frequency Scalpers
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,3748.8675112251444,1559,0.44323284156510584,2,Selective Retail
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,2204.6855314062163,4601,0.49163225385785697,2,Selective Retail
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,6279.002286760858,1911,0.6043956043956044,2,Selective Retail
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,820.4285131350847,14998,0.46432857714361914,2,High-Frequency Scalpers
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,3601.689298820446,3052,0.6893840104849279,2,Selective Retail
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,1273.1950003204101,15605,0.6397308554950336,2,High-Frequency Scalpers
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,2066.6892086330936,417,0.37410071942446044,0,Selective Retail
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,2979.4417761989343,563,0.5896980461811723,2,Selective Retail
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,8330.193370786517,534,0.5692883895131086,2,Whale Winners
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,3837.885375008484,14733,0.4549650444580194,1,High-Frequency Scalpers
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,22504.555828854896,4838,0.48945845390657294,2,Whale Winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,3210.472831257078,21192,0.528265383163458,1,High-Frequency Scalpers
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,7852.098337750852,2641,0.45172283226050736,2,Whale Winners
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,1844.2118863229146,40184,0.43333167429822816,1,High-Frequency Scalpers
